                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.52386,                0.46335,                0.94087,                0.89572,                0.94455,                0.95977,                0.82123,                0.60299,                0.47962,                0.86705,              0.0014228,              0.0014228,              0.0014228
                     76,                 0.5085,                0.46094,                0.91693,                0.92187,                0.93064,                0.95745,                0.82943,                0.59271,                0.46976,                0.87191,              0.0014195,              0.0014195,              0.0014195
                     77,                0.52236,                0.46094,                0.93872,                0.90045,                0.97826,                0.96255,                0.83442,                0.62302,                0.46604,                  0.886,              0.0014161,              0.0014161,              0.0014161
                     78,                0.54909,                0.46207,                0.98154,                0.92385,                0.96636,                0.96893,                0.82452,                0.62837,                0.47129,                0.89649,              0.0014128,              0.0014128,              0.0014128
                     79,                0.54203,                0.47857,                0.94249,                0.94224,                0.93593,                0.96823,                0.82146,                0.61309,                 0.4768,                0.89472,              0.0014095,              0.0014095,              0.0014095
                     80,                0.47558,                0.43615,                0.92572,                0.99114,                0.94211,                0.96843,                0.84085,                0.57175,                0.43738,                0.86522,              0.0014062,              0.0014062,              0.0014062
                     81,                0.47385,                0.43272,                0.90585,                 0.9818,                0.93857,                0.97414,                0.83674,                0.58893,                0.44131,                0.87273,              0.0014029,              0.0014029,              0.0014029
                     82,                 0.4984,                0.42614,                0.93403,                0.96655,                0.95445,                0.97364,                0.83329,                0.59944,                0.45546,                  0.883,              0.0013996,              0.0013996,              0.0013996
                     83,                 0.4685,                0.42787,                0.90593,                0.97499,                 0.9515,                0.97565,                0.82614,                0.62697,                0.42477,                0.90962,              0.0013963,              0.0013963,              0.0013963
                     84,                0.50769,                0.45599,                 0.9419,                0.97281,                0.92057,                0.95138,                0.81645,                0.67806,                0.44662,                0.95467,               0.001393,               0.001393,               0.001393
                     85,                0.51202,                0.44486,                0.92283,                0.96973,                0.92362,                0.95025,                0.81071,                0.66194,                0.42753,                0.94756,              0.0013897,              0.0013897,              0.0013897
                     86,                0.47244,                0.41514,                0.89013,                0.96301,                0.95765,                0.97408,                0.82679,                0.63422,                0.43258,                0.91299,              0.0013864,              0.0013864,              0.0013864
                     87,                0.47258,                0.47404,                0.92606,                0.97089,                0.93563,                0.97146,                0.80988,                0.68395,                0.46246,                 0.9395,              0.0013831,              0.0013831,              0.0013831
                     88,                0.47737,                0.41612,                0.92088,                0.91859,                0.95672,                0.96843,                0.79441,                 0.6759,                0.48645,                0.93014,              0.0013798,              0.0013798,              0.0013798
                     89,                0.47936,                0.45618,                0.94517,                0.97745,                0.90497,                0.96737,                0.79305,                0.67685,                0.48858,                 0.9347,              0.0013765,              0.0013765,              0.0013765
                     90,                 0.5076,                0.44829,                0.91388,                0.91096,                0.95164,                0.96313,                 0.7814,                 0.6804,                0.47653,                0.92473,              0.0013732,              0.0013732,              0.0013732
                     91,                0.46678,                0.41157,                0.91995,                0.93948,                0.96636,                0.97738,                0.80249,                0.67948,                0.49209,                0.93181,              0.0013699,              0.0013699,              0.0013699
                     92,                0.48032,                0.40625,                0.93136,                0.95543,                0.96839,                0.98647,                0.83299,                0.61595,                0.44391,                0.88836,              0.0013666,              0.0013666,              0.0013666
                     93,                0.48917,                0.43717,                0.94295,                 0.9573,                0.96414,                0.97849,                0.84584,                0.61075,                0.41838,                0.87677,              0.0013633,              0.0013633,              0.0013633
                     94,                0.48388,                  0.412,                0.93013,                0.94085,                0.97241,                0.98566,                0.84216,                0.63291,                0.42946,                0.92283,                0.00136,                0.00136,                0.00136
                     95,                0.47126,                0.41219,                0.90958,                0.97564,                0.96289,                0.97783,                0.82596,                0.64657,                0.43497,                 0.9253,              0.0013567,              0.0013567,              0.0013567
                     96,                0.48267,                0.40803,                0.91435,                0.92105,                0.86787,                0.93383,                0.79572,                0.71346,                0.54186,                0.97484,              0.0013534,              0.0013534,              0.0013534
                     97,                0.46454,                0.39896,                0.91125,                0.89161,                0.86811,                0.92046,                0.77666,                0.70876,                0.64348,                0.96466,              0.0013501,              0.0013501,              0.0013501
                     98,                0.57761,                0.42344,                 1.0169,                0.87984,                0.90471,                0.93595,                0.80826,                0.66217,                0.50916,                0.94068,              0.0013468,              0.0013468,              0.0013468
                     99,                0.48861,                0.40276,                0.92203,                0.86559,                0.81106,                0.89149,                0.75599,                0.69333,                0.70336,                0.95009,              0.0013435,              0.0013435,              0.0013435
                    100,                0.49623,                0.42727,                0.94101,                0.84477,                0.73917,                0.89673,                0.71296,                0.73812,                0.89869,                 1.0194,              0.0013402,              0.0013402,              0.0013402
                    101,                0.46621,                0.40206,                0.90264,                0.79615,                0.70325,                0.82923,                0.68784,                0.73609,                0.99325,                 1.0133,              0.0013369,              0.0013369,              0.0013369
                    102,                0.48333,                0.45853,                 0.9501,                0.89641,                0.83032,                0.92846,                0.75751,                0.68568,                0.64631,                 0.9382,              0.0013336,              0.0013336,              0.0013336
                    103,                 0.4809,                0.39693,                0.92096,                0.92958,                0.90627,                0.96161,                0.79301,                0.65819,                0.52746,                0.92321,              0.0013303,              0.0013303,              0.0013303
                    104,                 0.4765,                0.39678,                0.90693,                0.90452,                0.92288,                0.92785,                0.81055,                0.64333,                0.48259,                0.89551,               0.001327,               0.001327,               0.001327
                    105,                0.49594,                0.40061,                0.94806,                0.93178,                0.94462,                 0.9586,                0.81704,                0.64291,                0.47121,                0.91801,              0.0013237,              0.0013237,              0.0013237
                    106,                0.46602,                0.38445,                0.88733,                0.94519,                0.94648,                0.96455,                0.80822,                0.66057,                0.43842,                0.92431,              0.0013204,              0.0013204,              0.0013204
                    107,                  0.503,                0.40348,                0.92942,                0.94421,                0.96167,                0.97054,                0.83328,                0.62448,                 0.4116,                0.89065,              0.0013171,              0.0013171,              0.0013171
                    108,                0.51626,                0.39561,                0.94951,                0.93841,                0.95652,                0.94463,                0.82267,                0.65216,                 0.4286,                0.90003,              0.0013138,              0.0013138,              0.0013138
                    109,                0.45274,                0.37744,                0.90217,                0.91711,                0.94293,                0.94202,                0.80365,                0.69067,                0.44494,                0.92722,              0.0013105,              0.0013105,              0.0013105
                    110,                0.51263,                0.44645,                0.95782,                0.93764,                0.93271,                0.95298,                0.81054,                0.65541,                0.43212,                0.89943,              0.0013072,              0.0013072,              0.0013072
                    111,                0.43991,                0.38993,                0.89265,                0.94899,                0.93271,                0.96127,                0.82085,                0.64208,                0.40832,                0.89881,              0.0013039,              0.0013039,              0.0013039
                    112,                0.46068,                0.39893,                0.92327,                0.93822,                0.96636,                0.97612,                0.82396,                0.64284,                0.42671,                0.90833,              0.0013006,              0.0013006,              0.0013006
                    113,                0.42782,                0.38571,                0.90149,                0.90254,                0.94462,                0.95461,                0.81713,                0.64374,                0.44768,                 0.8971,              0.0012973,              0.0012973,              0.0012973
